ask_code,topic,en,ko,ru,zh,mn,zh_py,note
vw019,2,cloud,구름,облако,云彩,үүл,yun2 cai,
vw020,2,clear,맑다,ясно,晴(晴天的+),цэлмэх,qing2 (qing2 tian1 de +),
vw021,2,cloudy,흐리다(날씨가+),облачно,阴(阴天的+),бүрхэх,yin1 (yin1 tian1 de +),
vw029,2,thunder (n.),천둥,гром,雷(打雷的+),аянга,lei2 (da3 lei2 de +),
vw031,2,lightning,번개,молния,闪电,цахилгаан,shan3 dian4,
vw035,2,dew,이슬,роса,露水,шүүдэр,lu4 shui3,
vw036,2,freeze,얼다,замерзать,冻(白菜冻了的+),хөлдөх,dong4 (bai2 cai4 dong4 le de +),
vy004,3,year,해/년,год,年(2005年的+),он,nian2 (er4 ling2 ling2 wu3 nian2 de +),
vy005,3,this year,금년,этот год,今年,энэ жил,jin1 nian2,
vy006,3,last year,작년,прошлый год,去年,ноднин,qu4 nian2,
vy008,3,next year,내년,следующий год,明年,ирэх жил,ming2 nian2,
vy011,3,spring (n.),봄,весна,春天,хавар,chun1 tian1,
vy012,3,summer,여름,лето,夏天,зун,xia4 tian1,
vy013,3,autumn,가을,осень,秋天,намар,qiu1 tian1,
vy014,3,winter,겨울,зима,冬天,өвөл,dong1 tian1,
vy015,3,month,달/월,месяц,月(一月的+),сар,yue4 (yi2 yue4 de +),
vy042,3,(a) day,날(日),день (напр. три дня),天/日(三天的+),өдөр,tian1 /ri4 (san1 tian1 de +),
vy044,3,today,오늘,сегодня,今天,өнөөдөр,jin1 tian1,
vy045,3,yesterday,어제,вчера,昨天,өчигдөр,zuo2 tian1,
vy050,3,tomorrow,내일,завтра,明天,маргааш,ming2 tian1,
vy073,3,morning,아침,утро,早晨,өглөө,zao3 chen2,
vy074,3,noon,낮(밤과 낮),день (напр. день и ночь),白天(白天和夜晚的+),өдөр (жб. өдөр шөнө),bai2 tian1 (bai2 tian2 he2 ye4 wan3 de +),
vy080,3,evening,저녁,вечер,晚上,орой,wan3 shang,
vy081,3,night,밤,ночь,夜(深夜的+),шөнө,ye4 (shen1 ye4 de +),
vy085,3,when,언제,когда,什么时候,хэзээ,shen2 me shi2 hou,
vy089,3,after this(that) time,나중에,потом,以后,сүүлд,yi3 hou4,
vy093,3,at first,먼저,сначала,先(我先走了的+),эхлээд,xian1 (wo3 xian1 zou3 le de +),
vy101,3,already,이미,уже,已经,хэдийнээ,yi3 jing1,
vy102,3,"yet, still",아직,ещё,还(还没走的+),хараахан,hai2 (hai2 mei2 zou3 de +),
vy108,3,(for a) little while,잠깐(+동안),недолго,一会儿,түр зуур,yi2 hui4r,
vy109,3,sometimes,가끔,иногда,有时(我有时抽烟的+),хааяа,you3 shi2 (wo3 you3 shi2 chou1 yan1 de +),
vy112,3,How old are you?,몇 살(당신은 +입니까?),Сколько (Вам) лет?,岁(年岁的+),хэдэн настай,sui4 (nian2 sui4 de +),
vy114,3,right now,지금,сейчас,现在,эдүүгээ,xian4 zai4,
vy123,3,New Year,새해,Новый Год,新年,шинэ жил,xin1 nian2,
vy126,3,birthday,생일,день рождения,生日,төрсөн өдөр,sheng1 ri4,
vr001,4,person/people,사람,человек,人(中国人的+),хүн,ren2 (zhong1 guo2 ren2 de +),
vr002,4,last (family) name,성씨,фамилия,姓(您贵姓的+),овог,xing4 (nin2 gui4 xing4 de +),
vr003,4,first (given) name,이름,имя,名字,нэр,ming2 zi,
vr008,4,man,남자,мужчина,男人,эрэгтэй,nan2 ren2,
vr009,4,woman,여자,женщина,女人,эмэгтэй,nv3 ren2,
vr011,4,family,가족,,家族,гэр бүл,jia1 zu2,
vr188,4,maternal grandfather,외할아버지,дедушка по материнской линии,外祖父/姥爷,нагац эцэг,wai4 zu3 fu4 /lao3 ye2,
vr189,4,maternal grandmother,외할머니,бабушка по материнской линии,外祖母/姥姥,нагац эх,wai4 zu3 mu3 /lao3 lao,
vr015,4,parents,부모,родители,父母,эцэг эх,fu4 mu3,
vr016,4,father,아버지,отец,父亲,эцэг,fu4 qin1,
vr017,4,mother,어머니,мать,母亲,эх,mu3 qin1,
vr018,4,dad,아빠,папа,爸爸,аав,ba4 ba,
vr022,4,son,아들,сын,儿子,хүү,er2 zi,
vr023,4,daughter,딸,дочь,女儿,охин,nv3 er2,
vr024,4,elder brother,형,старший брат (для мужчины),哥哥(男→男),ах (би эрэгтэй),ge1 ge (nan2→nan2),
vr025,4,elder brother,오빠,старший брат (для женщины),哥哥(女→男),ах (би эмэгтэй),ge1 ge (nv3→nan2),
vr026,4,elder sister,누나,старшая сестра (для мужчины),姐姐(男→女),эгч (би эрэгтэй),jie3 jie (nan2→nv3),
vr028,4,younger brother,남동생,младший брат,弟弟,дүү,di4 di,
vr029,4,younger sister,여동생,младшая сестра,妹妹,охин дүү,mei4 mei,
vr030,4,"younger brother, younger sister",동생,"младший брат, младшая сестра",弟弟妹妹,дүү,di4 di mei4 mei,
vr050,4,grandson,손자,внук,孙子,ач хүү,sun1 zi,
vr051,4,granddaughter,손녀,внучка,孙女,ач охин,sun1 nv3,
vr079,4,husband,남편,муж,丈夫,нөхөр,zhang4 fu,
vr080,4,wife,아내,жена,妻子,эхнэр,qi1 zi,
vr083,4,father-in-law,시아버지,свёкр,公公,хадам аав (би эмэгтэй),gong1 gong,
vr084,4,mother-in-law,시어머니,свекровь,婆婆,хадам ээж (би эмэгтэй),po2 po,
vr085,4,daughter in law,며느리,невестка,儿媳妇,бэр охин,er2 xi2 fu,
vr086,4,father in law,장인,тесть,老丈人/岳父,хадам аав (би эрэгтэй),lao3 zhang4 ren /yue4 fu4,
vr087,4,mother in law,장모,тёща,丈母娘/岳母,хадам ээж (би эмэгтэй),zhang4 mu3 niang2 /yue4 mu3,
vr088,4,son in law,사위,зять,女婿/姑爷,хүргэн хүү,nv3 xu /gu1 ye,
vr186,4,relatives via marriage,사돈,свойственник,亲家,,qing4 jia,
vr092,4,child,아이,ребёнок,小孩儿,хүүхэд,xiao3 hai2 er,
vr095,4,young boy,사내아이,,男孩,,nan2 hai2,
vr098,4,young girl,여자아이,,女孩,,nv3 hai2,
vr099,4,young man,청년,парень,青年,залуу,qing1 nian2,
vr100,4,maid,처녀,девушка,姑娘,охин,gu1 niang,
vr103,4,old man,노인,старик,老人,хөгшин хүн,lao3 ren2,
vr104,4,elderly woman,노인(여),старуха,老人(女)/老太太,эмгэн,lao3 ren2 (nv3)/lao3 tai4 tai,
vr105,4,adult,어른,взрослый,大人,насанд хүрсэн хүн,da4 ren2,
vr108,4,"master, host",주인,хозяин,主人(房子的主人的+）,эзэн,zhu3 ren2 （fang2 zi de zhu3 ren2）,
vr110,4,guest,손님,гость,客人,зочин,ke4 ren2,
vr111,4,tourist,나그네,прохожий,过客/过路人,аянчин,guo4 ke4/guo4 lu4 ren2,
vr118,4,shepherd,양치기,пастух овец,放羊的,хоньчин,fang4 yang2 de,
vr119,4,man who raises cattle/cowboy,소치기,пастух коров,放牛的,үхэрчин,fang4 niu2 de,
vr120,4,lip service,말치기,табунщик,牧马人/放马的,адуучин,mu4 ma3 ren2/fang4 ma3 de,
vr121,4,a hunter,사냥꾼,охотник,猎人,анчин,lie4 ren,
vr122,4,fisherman,어민/어부,рыбак,渔夫,загасчин,yu2 fu1,
vr135,4,friend,친구,друг,朋友,найз,peng2 you,
vr139,4,teacher,스승,учитель,老师,багш,lao3 shi1,
vr140,4,"student, pupil",학생,ученик,学生,сурагч,xue2 sheng,
vr141,4,hero,영웅,герой,英雄,баатар,ying1 xiong2,
vr162,4,thief,도둑,вор,贼盗/强盗,хулгайч,zei2 dao4/qiang2 dao4,
vc039,5,money,돈/화폐,деньги,钱(金钱的+),мөнгө,qian2 (jin1 qian2 de +),
vc059,5,the rich,부자,"богачи, богатые",富人/有钱人,баян хүн,fu4 ren2 /you3 qian2 ren2,
vc064,5,buy,사다,покупать,买(买东西的+),худалдаж авах,mai3 (mai3 dong1 xi de +),
vc065,5,sell,팔다,продавать,卖(卖东西的+),зарах,mai4 (mai4 dong1 xi de +),
vc069,5,paper,종이,бумага,纸(纸笔的+),цаас,zhi3 (zhi3 bi3 de +),
vc075,5,drawing,그림,"картина, рисунок",画儿(年画儿的+),зураг,hua4r(nian2 hua4r de +),
vc076,5,draw (picture),그리다(그림을+),рисовать,画(画图的+),зурах,hua4(hua4 tu2 de +),
vc078,5,book,책,книга,书(看书的+),ном,shu1 (kan4 shu1 de +),
vc087,5,song,노래,песня,歌儿,дуу,ge1r,
vc105,5,speech,말(言),речь,话(说话的+),үг яриа,hua4(shuo1 hua4 de +),
vc107,5,sound,소리,звук,声音(开门的声音的+）,дуу авиа,sheng1 yin1 (kai1 men2 de sheng1 yin1 de+),
vc108,5,power,힘,сила,力气,хүч,li4 qi,
vc109,5,business,용건,дело,事情,хэрэг,shi4 qing,
vc110,5,"job, work, task",일(事),работа,工作,ажил,gong1 zuo4,
vc113,5,thing,물건,вещь,东西,юм,dong1 xi,
vc119,5,God,신(神),Бог,神(神仙的+),тэнгэр,shen2 (shen2 xian1 de +),
vc122,5,market,시장,"рынок, базар",市场(集贸市场的+),"зах, зах зээл",shi4 chang3（ji2 mao4 shi4 chang3 de +),
vc189,5,school,학교,школа,学校,сургууль,xue2 xiao4,
vc202,5,hell,지옥,ад,地狱,там,di4 yu4,
vc208,5,railroad station,역,вокзал,站(车站的+),галт тэрэгний буудал,zhan4 (che1 zhan4 de+),
vt003,6,soldier,군인,солдат,军人,цэрэг,jun1 ren2,
vt011,6,war,전쟁,война,战争,дайн,zhan4 zheng1,
vt035,6,win,이기다,выигрывать,赢(输赢的+),дийлэх,ying2 (shu1 ying2 de +),
vt036,6,lose,지다(敗),проигрывать,败(败仗的+),дийлдэх,bai4 (bai4 zhang4 de +),
vt037,6,enemy,적,враг,敌人,дайсан,di2 ren2,
vt040,6,knife,칼,нож,刀(小刀的+),хутга,dao1 (xiao3 dao1 de +),
vt041,6,sword,검,меч,剑(刀剑的+),"илд, сэлэм",jian4 (dao1 jian4 de +),
vt042,6,bow,활,лук (оружие),弓(弓箭的+),нум,gong1 (gong1 jian4 de +),
vt043,6,arrow,화살,стрела,箭(射箭的+),сум (нумны+),jian4 (she4 jian4 de +),
vt046,6,gun,총,ружьё,枪(打枪的+),буу,qiang1 (da3 qiang1 de +),
vt047,6,spear (n.),창(槍),копьё,长枪,жад,chang2 qiang1,
vt053,6,bullet,총알,пуля,子弹,сум (бууны+),zi3 dan4,
vt055,6,gunpowder,화약,порох,火药,дарь,huo3 yao4,
vt060,6,road/path,길,путь,道路,зам,dao4 lu4,
vt065,6,carriage,수레,повозка,车(手推车的+),тэрэг,che1 (shou3 tui1 che1 de +),
vb002,7,head,머리,голова,头(头脑的+),толгой,tou2 (tou2 nao3 de +),
vb003,7,hair,머리카락,волосы (на голове человека),头发,үс,tou2 fa,
vb006,7,forehead,이마,лоб,额头/脑门,магнай,e2 tou2 /nao3 men2,
vb007,7,face,얼굴,лицо,脸(脸红的+),нүүр,lian3 (lian3 hong2 de +),
vb010,7,eye,눈(眼),глаз,眼睛,нүд,yan3 jing,
vb014,7,tear(n. from the eyes),눈물,слеза,眼泪,нулимс,yan3 lei4,
vb015,7,nose,코,нос,鼻子,хамар,bi2 zi,
vb017,7,ear,귀,ухо,耳朵,чих,er3 duo,
vb019,7,mouth,입,рот,嘴(人的+),ам,zui3 (ren2 de +),
vb020,7,lip,입술,губа,嘴唇,уруул,zui3 chun2,
vb023,7,tongue,혀,язык (напр. коровий),舌头,хэл,she2 tou,
vb024,7,tooth,이/치아,зуб,牙齿,шүд,ya2 chi3,
vb032,7,throat,목구멍,горло,喉咙,хоолой,hou2 long2,
vb033,7,voice,목소리,голос,声音(说话声音的+）,дуу,sheng1 yin1(shuo1 hua4 sheng1 yin1 de +),
vb035,7,cheek,뺨,щека,脸颊,хацар,lian3 jia2,
vb037,7,jaw,턱,челюсть,下巴,эрүү,xia4 ba,
vb039,7,neck,목,шея,脖子,хүзүү,bo2 zi,
vb040,7,shoulder,어깨,плечо,肩膀,мөр,jian1 bang3,
vb041,7,breast,가슴,грудь,胸脯,цээж,xiong1 pu2,
vb042,7,back,등,спина,脊背,нуруу,ji3 bei4,
vb043,7,abdomen,배(腹),живот,肚子,гэдэс,du4 zi,
vb047,7,hand,손,кисть (от запястья до конца пальцев),手(手脚的+),гар (бугуйнаас хуруу хүртэлх хэсэг),shou3 (shou3 jiao3 de+),
vb048,7,foot,발,стопа,脚(手脚的+),хɵл (шагайгаас ул хүртэлх хэсэг),jiao3 (shou3 jiao3 de +),
vb055,7,finger,손가락,палец,手指,гарын хуруу,shou3 zhi3,
vb062,7,nail,손톱,ноготь (на руке),手指甲,гарын хумс,shou3 zhi3 jia3,
vb063,7,toenail,발톱(사람의+),ноготь (на ноге),脚趾甲,хөлийн хумс,jiao3 zhi3 jia3,
vb066,7,knee,무릎,колено,膝盖,өвдөг,xi1 gai4,
vb074,7,heart,심장,сердце,心脏,зүрх,xin1 zang4,
vb075,7,waist,허리,поясница,腰(腰疼的+),нуруу,yao1 (yao1 teng2 de +),
vb077,7,backbone,척추,позвоночник,脊柱/脊梁骨/脊椎,сээр нуруу,ji3 zhu4 /ji3 liang2 gu3/ji3 zhui1,
vb078,7,breast (womans),유방(사람의+),грудь (женская),乳房(人的),хөх,ru3 fang2 (ren2 de ),
vb080,7,navel,배꼽,пуп,肚脐,хүйс,du4 qi2,
vb083,7,flesh,살,плоть,肉(我大腿上的肉的+),мах,rou4 (wo3 da4 tui3 shang4 de rou4 de +),
vb085,7,stomach,위,желудок,胃(肠胃的+),ходоод,wei4 (chang2 wei4 de +),
vb086,7,bowels,장,кишка,肠(肠子的+),гэдэс дотор,chang2 (chang2 zi de +),
vb093,7,kidney,콩팥,почка (напр. левая),肾(肾脏的+),бөөр,shen4 (shen4 zang4 de +),
vb094,7,liver,간,печень,肝(肝脏的+),элэг,gan1 (gan1 zang4 de +),
vb095,7,gallbladder,쓸개,жёлчь,胆(苦胆的+),цөс,dan3 (ku3 dan3 de +),
vb096,7,lungs,폐,лёгкие,肺(肺气肿的+),уушги,fei4 (fei4 qi4 zhong3 de +),
vb098,7,vesica,방광,мочевой пузырь,膀胱,давсаг,pang1 guang1,
vb100,7,blood,피,кровь,血(流血的+),цус,xue4 (liu2 xue4 de +),
vb102,7,breathe,숨쉬다,дышать,喘气,амьсгалах,chuan3 qi4,
vb104,7,become pregnant,임신하다(사람이+),беременеть,怀孕,жирэмслэх,huai2 yun4,
vb108,7,brain,뇌,мозг,脑子,уураг тархи,nao3 zi,
vb111,7,moustache,콧수염,усы,小胡子/胡子,живэр,xiao3 hu2 zi,
vb114,7,skin,피부,кожа (напр. на руках),皮肤,арьс,pi2 fu1,
vb115,7,bone,뼈,кость,骨头,яс,gu3 tou,
vb116,7,rib,갈비,ребро,肋骨,хавирга,lei4 gu3,
vb128,7,feces,똥(사람의+),кал,屎/大便(人的),баас,shi3 /da4 bian4,
vb130,7,urine,오줌,моча,尿(尿液的+),шээс,niao4 (niao4 ye4 de +),
vb135,7,sweat,땀,пот,汗(汗水的+),хөлс,han4 (han4 shui3 de +),
vb147,7,sleep,잠,сон (напр. здоровый),睡眠,нойр,shui4 mian2,
vz001,8,sickness,병(病),болезнь,病(生病的+),өвчин,bing4 (sheng1 bing4 de +),
vz003,8,fall ill,걸리다(병에+),заболеть,得(得病 的+),өвчин тусах,de2 (de2 bing4 de +),
vz005,8,painful,아프다(머리가+),болеть (напр. У меня голова болит.),痛/疼(头疼的+),(толгой) өвдөх,tong4 /teng2 (tou2 teng2 de +),
vz006,8,wound,상처,рана,伤口,шарх,shang1 kou3,
vz010,8,fever,열(이마의+),температура (напр. у больного),烧(发烧的+),халуун,shao1 (fa1 shao1 de +),
vz026,8,drug,약,лекарство,药(吃药的+),эм,yao4 (chi1 yao4 de +),
vz027,8,take medicine,먹다(약을+),принимать лекарство,吃(吃药的+),эм уух,chi1 (chi1 yao4 de +),
vl001,9,house,집,дом,房子,байшин,fang2 zi,
vl008,9,reside,거주하다,,住(居住的+),,zhu4 (ju1 zhu4 de +),
vl010,9,door,문,дверь,门(大门的+),үүд,men2 (da4 men2 de +),
vl015,9,roof,지붕,крыша,房顶,дээвэр,fang2 ding3,
vl016,9,pillar,기둥,столб,柱子,багана,zhu4 zi,
vl025,9,quilt,이불,,被子,хөнжил,bei4 zi,
vl028,9,pillow,베개,подушка,枕头,дэр,zhen3 tou,
vl037,9,table,탁자,стол,桌子,ширээ,zhuo1 zi,
vl041,9,firewood,장작,дрова,柴火,түлээ мод,chai2 huo,
vl044,9,lamp,등/등불,лампа,灯(电灯的+),дэн,deng1 (dian4 deng1 de +),
vl049,9,rope,밧줄,канат,大绳子/粗绳子,олс,da4 sheng2 zi /cu1 sheng2 zi,
vl082,9,storehouse,창고,склад,仓库,амбаар,cang1 ku4,
vl090,9,kitchen,부엌,кухня,厨房,гал тогоо,chu2 fang2,
vl105,9,sickle,낫(짧은+),серп,镰刀(短把的+),хадуур,lian2 dao1 (duan3 ba4 de +),
vl106,9,scythe,낫(긴+),коса,镰刀(长把的+),шимээсэг,lian2 dao1 (chang2 ba4 de +),
vl108,9,"nail, spike",못,гвоздь,钉子,хадаас,ding1 zi,
vl110,9,axe,도끼,топор,斧子,сүх,fu3 zi,
vl118,9,bit,재갈,удила,马嚼子,амгай,ma3 jiao2 zi,
vl120,9,saddle,안장,седло,鞍(马鞍子的+),эмээл,an1 (ma3 an1 zi de +),
vl123,9,bridle,굴레,"узда, уздечка",笼头,ногт,long2 tou,
vl124,9,rein(s),고삐,"вожжи, повод",缰绳,жолоо,jiang1 sheng,
vl126,9,thill,끌채,оглобля,车辕,арал,che1 yuan2,
vl128,9,whip,채찍,"кнут, бич",鞭子,ташуур,bian1 zi,
vl143,9,mirror,거울,зеркало,镜子,толь,jing4 zi,
vl149,9,comb,빗(총칭),расчёска,梳子,сам,shu1 zi,
vl189,9,a bamboo comb,참빗,частый гребень,篦子,нарийн шүдтэй сам,bi4 zi,
vl151,9,scissors,가위,ножницы,剪子,хайч,jian3 zi,
vl158,9,dust,먼지,пыль,灰尘,тоос,hui1 chen2,
vl162,9,smoke,연기,дым,烟(冒烟的+),утаа,yan1 (mao4 yan1 de +),
vl176,9,fishing net,그물,рыболовная сеть,鱼网,тор,yu2 wang3,
vg001,10,clothes,옷,одежда,衣服,хувцас,yi1 fu,
vg002,10,put on,입다(옷을+),одеваться,穿(穿衣服的+),өмсөх,chuan1 (chuan1 yi1 fu de +),
vg003,10,take off,벗다(옷을+),раздеваться,脱(脱衣服的+),тайлах,tuo1 (tuo1 yi1 fu de +),
vg005,10,trousers,바지,"штаны, брюки",裤子,өмд,ku4 zi,
vg008,10,leather,가죽,шкура (напр. овечья),皮革,арьс шир,pi2 ge2,
vg009,10,leather garment,가죽옷,"одежда из кожи, кожаная одежда",皮衣,арьсан хувцас,pi2 yi1,
vg010,10,fur,털가죽/모피,мех,毛皮,ангийн үс,mao2 pi2,
vg011,10,fur clothes,모피옷,одежда из меха,皮袄,ангийн үсээр хийсэн хувцас,pi2 ao3,
vg067,10,fur coat,모피 외투,шуба,毛皮外套兒,ангийн үсээр хийсэн пальто,mao2 pi2 wai4 tao4r,
vg012,10,headgear,모자(총칭),головной убор,帽子(总称),малгай,mao4 zi (zong3 cheng1),
vg013,10,fur hat,털모자,шапка (меховая),毛皮帽子,үстэй малгай,mao2 pi2 mao4 zi,
vg016,10,thread,실,"нитка, нить",线(缝衣服线的+),утас,xian4 (feng2 yi1 fu xian4 de +),
vg018,10,wool,양털,овечья шерсть,羊毛,хонины ноос,yang2 mao2,
vg019,10,cloth,천/옷감,ткань,布(布料的+),бөс даавуу,bu4 (bu4 liao4 de +),
vg029,10,shoes,신발,обувь,鞋/鞋子(穿鞋的+),гутал,xie2 /xie2 zi (chuan1 xie2 de +),
vg033,10,underwear,속옷,нижнее белье,衬衣(内衣),дотуур хувцас,chen4 yi1 (nei4 yi1),
vg050,10,needle,바늘/침(針),"игла, иголка",针(缝衣服用的+),зүү,zhen1 (feng2 yi1 fu yong4 de +),
vg052,10,sew,바느질하다,шить,缝(缝衣服的+),оёх,feng2 (feng2 yi1 fu de +),
vf002,11,breakfast,아침식사,завтрак,早饭,өглөөний хоол,zao3 fan4,
vf003,11,lunch,점심식사,обед,午饭,үдийн хоол,wu3 fan4,
vf004,11,dinner,저녁식사,ужин,晚饭,оройн хоол,wan3 fan4,
vf006,11,oil,기름,масло (напр. растительное),油(油腻的+),тос,you2 (you2 ni4 de +),
vf007,11,"gruel, porridge",죽,каша,粥(大米粥的+),зутан шөл,zhou1 (da4 mi3 zhou1 de +),
vf008,11,soup,수프/탕/국,суп,汤(鸡肉汤的+),шөл,tang1 (ji1 rou4 tang1 de +),
vf009,11,eat,먹다,есть,吃(吃饭的+),идэх,chi1 (chi1 fan4 de +),
vf010,11,drink,마시다,пить,喝(喝酒的+),уух,he1 (he1 jiu3 de +),
vf013,11,hungry,고프다(배가+),голодный,饿(肚子饿了的+),гэдэс өлсөх,e4 (du4 zi e4 le de +),
vf014,11,full,부르다(배가+),сытый,饱(吃饱了的+),цадах,bao3 (chi1 bao3 le de +),
vf015,11,thirsty,마르다(목이+),испытывать жажду,渴(口渴了的+),ам цангах,ke3 (kou3 ke3 le de +),
vf017,11,cooking,요리하다,готовить (пищу),烹饪,хоол хийх,peng1 ren4,
vf021,11,boil,삶다,варить,煮(煮牛肉的+),чанах,zhu3 (zhu3 niu2 rou4 de +),
vf028,11,rice,쌀,рис,大米,цагаан будаа,da4 mi3,
vf029,11,boiled rice,밥/쌀밥,варёный рис,饭/米饭,агшаасан цагаан будаа,fan4,
vf037,11,flour,밀가루,мука (пшеничная),面粉,улаан буудайн гурил,mian4 fen3,
vf042,11,meat,고기,мясо,肉(肉的总称),мах,rou4 (rou4 de zong3 cheng1 +),
vf058,11,ripe,익다(과일 등이+),спелый,熟(水果熟了的+),боловсрох,shu2 (shui3 guo3 shu2 le de +),
vf059,11,egg,알/달걀,яйцо,蛋(鸡蛋的+),өндөг,dan4 (ji1 dan4 de +),
vf060,11,candy/sugar,사탕/설탕,,糖(水果糖的+),чихэр,tang2 (shui3 guo3 tang2 de +),
vf061,11,milk,젖,молоко,奶(妈妈的奶的＋),сүү,nai3 (ma1 ma de nai3 de +),
vf177,11,mare's milk,마유,кобылье молоко,马奶,гүүний сүү,ma3 nai3,
vf178,11,kumiss,마유주,кумыс,,гүүний айраг,,
vf069,11,get drunk,취하다,"быть пьяным, опьянеть",醉(喝醉了的+),согтох,zui4 (he1 zui4 le de +),
vf074,11,honey,꿀,мёд,蜂蜜,зөгийн бал,feng1 mi4,
vf077,11,cigarette,담배,сигареты,烟(香烟的+),тамхи,yan1 (xiang1 yan1 de +),
vf078,11,smoke,피우다(담배를+),курить,吸(吸烟的+),тамхи татах,xi1 (xi1 yan1 de +),
vf079,11,salt,소금,соль,盐(咸盐的+),давс,yan2 (xian2 yan2 de +),
vf085,11,"tasty, delicious",맛있다,вкусный,好吃,амттай,hao3 chi1,
vf086,11,flat,맛없다,невкусный,不好吃,амтгүй,bu4 hao3 chi1,
vf088,11,sweet,달다,сладкий,甜(糖很甜的+),чихэрлэг,tian2 (tang2 hen3 tian2 de +),
vf089,11,bitter,쓰다(맛이+),горький,苦(药很苦的+),гашуун,ku3 (yao4 hen3 ku3 de +),
vf092,11,salty,짜다(맛이+),солёный,咸(菜做咸了的+),шорвог,xian2 (cai4 zuo4 xian2 le de +),
vf094,11,sour,시다,кислый,酸(醋很酸的+),исгэлэн амттай,suan1 (cu4 hen3 suan1 de +),
vf120,11,beans,콩,бобы,大豆/黄豆,буурцаг,da4 dou4/huang2 dou4,
vf122,11,green onion,파,зелёный лук,葱(大葱的+),сонгино,cong1 (da4 cong1 de +),
vf154,11,jar,단지,горшок,坛子,шавар ваар,tan2 zi,
vf161,11,chopsticks,젓가락,палочки (для еды),筷子,савх,kuai4 zi,
vf165,11,kettle,솥,котёл,锅子,тогоо,guo1 zi,
vf169,11,cover,뚜껑,крышка (напр. котла),盖子,таг халив,gai4 zi,
vh007,12,wolf,이리/늑대,волк,狼(野狼的+),чоно,lang2 (ye3 lang2 de +),
vh008,12,fox,여우,лиса,狐狸,үнэг,hu2 li,
vh013,12,roe deer,노루,косуля,獐子,бор гөрөөс,zhang1 zi,
vh019,12,weasel,족제비,хорёк,黄鼠狼,солонго,huang2 shu3 lang2,
vh023,12,wild bore,멧돼지,кабан,野猪,бодон гахай,ye3 zhu1,
vh035,12,hunting knife,사냥용 칼,охотничий нож,猎刀,ан гөрөөний хутга,lie4 dao1,
vh036,12,"booty, game",수렵물,охотничья добыча,猎物,ан амьтан,lie4 wu4,
vh037,12,chase,추격하다(동물을+),преследовать (животного),追踪(+猎物),мөшгих,zhui1 zong1 (+ lie4 wu4),
vh040,12,trap,덫,ловушка,猎套,хавх,lie4 tao4,
vh041,12,hare,토끼(산+),заяц,兔子,туулай,tu4 zi,
vh046,12,tiger,호랑이,тигр,老虎,бар,lao3 hu3,
vh049,12,marten,담비(흑담비),"соболь, куница",貉子,булга,hao2 zi,
